/,Course Name,Website,Address One,Address Two,City,State,Country,Postal Code
course,Heron Creek Country Club,https://www.heroncreekgcc.com/,5301 Heron Creek Blvd.,,North Port,FL,US,34287
hole,9,4,4,349,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Green (M),36,33.2,2668,117,,,
/,Hole Number,Par,Handicap,Length,,,,
435 302 136 278 457 137 287 296 340,,,,,,,,
hole,1,5,6,435,,,,
hole,2,4,3,302,,,,
hole,3,3,8,136,,,,
hole,4,4,2,278,,,,
hole,5,5,1,457,,,,
hole,6,3,9,137,,,,
hole,7,4,7,287,,,,
hole,8,4,5,296,,,,
hole,9,4,4,340,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Green (L),36,35.8,2668,130,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,6,435,,,,
hole,2,4,3,302,,,,
hole,3,3,8,136,,,,
hole,4,4,2,278,,,,
hole,5,5,1,457,,,,
hole,6,3,9,137,,,,
hole,7,4,7,287,,,,
hole,8,4,5,296,,,,
hole,9,4,4,340,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Gold (M),36,32,2472,111,,,
/,Hole Number,Par,Handicap,Length,,,,
399 293 131 271 457 129 277 228 287,,,,,,,,
hole,1,5,4,399,,,,
hole,2,4,5,293,,,,
hole,3,3,9,131,,,,
hole,4,4,2,271,,,,
hole,5,5,1,457,,,,
hole,6,3,7,129,,,,
hole,7,4,3,277,,,,
hole,8,4,6,228,,,,
hole,9,4,8,287,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Gold (L),36,34.3,2472,124,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,4,399,,,,
hole,2,4,5,293,,,,
hole,3,3,9,131,,,,
hole,4,4,2,271,,,,
hole,5,5,1,457,,,,
hole,6,3,7,129,,,,
hole,7,4,3,277,,,,
hole,8,4,6,228,,,,
hole,9,4,8,287,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Red (M),36,31.35,2277,109,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,4,399,,,,
hole,2,4,5,283,,,,
hole,3,3,9,92,,,,
hole,4,4,2,238,,,,
hole,5,5,1,367,,,,
hole,6,3,7,106,,,,
hole,7,4,3,277,,,,
hole,8,4,6,228,,,,
hole,9,4,8,287,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Red (L),36,33.4,2277,115,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,4,399,,,,
hole,2,4,5,283,,,,
hole,3,3,9,92,,,,
hole,4,4,2,238,,,,
hole,5,5,1,367,,,,
hole,6,3,7,106,,,,
hole,7,4,3,277,,,,
hole,8,4,6,228,,,,
hole,9,4,8,287,,,,
endtee,,,,,,,,
